Ajdovščina;Goriška cesta 24
Benedikt;Čolnikov trg 9
Bled;Ljubljanska cesta 10
Bohinjska Bistrica;Trg svobode 2 C
Borovnica;Molkov trg 12
Bresternica;Obrobna ulica 1
Brezovica pri Ljubljani;Podpeška cesta 20
Brežice;Ulica stare pravde 34
Celje;Krekov trg 9
Črenšovci;Ulica Prekmurske čete 14
Črna na Koroškem;Center 16;
Črnomelj;Kolodvorska cesta 30 A
Dobova;Ulica bratov Gerjovičev 52
Dravograd;Trg 4. julija 1
Gorišnica;Gorišnica 79
Gornja Radgona;Cesta na Stadion 1
Gornji Grad;Podsmrečje 20
Gornji Grad;Podsmrečje 20
Gornji Grad;Attemsov trg 8
Grosuplje;Partizanska cesta 7
Idrija;Vodnikova ulica 1
Ivančna Gorica;Ploščad Osvobodilne fronte 4
Ivanjkovci;Ivanjkovci 9 B
Izola/Isola;Cankarjev drevored 1
Jesenice;Cesta Cirila Tavčarja 8
Jesenice na Dolenjskem;Jesenice 9
Kamnica;Cesta v Rošpoh 18
Kamnik;Ljubljanska cesta 14 A
Kidričevo;Kopališka ulica 2
Kobilje;Kobilje 30
Kočevje;Ljubljanska cesta 23
Komenda;Glavarjeva cesta 39
Koper;Kolodvorska cesta 9
Kranj;Dražgoška ulica 8
Kranj;Škofjeloška cesta 17
Kranj;Jezerska cesta 41
Kranj;Ulica Lojzeta Hrovata 2
Kranjska Gora;Borovška cesta 92
Krško;Trg Matije Gubca 1
Lenart v Slovenskih goricah;Partizanska cesta 3
Lendava/Lendva;Trg ljudske pravice 7
Lesce;Alpska cesta 37 B
Ljubljana;Poljanski nasip 30
Ljubljana;Pražakova ulica 3
Ljubljana;Zaloška cesta 57
Ljubljana;Dunajska cesta 141
Ljubljana;Riharjeva ulica 38
Ljubljana;Vodnikova cesta 235
Ljubljana;Resljeva cesta 14
Ljubljana;Letališka cesta 12
Ljubljana;Tacenska cesta 94
Ljubljana;Hrvaška ulica 8
Ljubljana;Ob železnici 22
Ljubljana;Hranilniška ulica 1
Ljubljana;Dunajska cesta 145
Ljubljana;Litijska cesta 140
Ljubljana;Tehnološki park 22a
Ljubljana;Tržaška cesta 89
Ljubljana;Cesta dveh cesarjev 73
Ljubljana;Cesta dveh cesarjev 71
Ljubljana - Črnuče;Dunajska cesta 361
Ljubljana - Polje;Zadobrovška cesta 14
Ljubljana - Šentvid;Prušnikova ulica 2
Makole;Makole 37
Malečnik;Malečnik 56
Maribor;Istrska ulica 49
Maribor;Šarhova ulica 59 A
Maribor;Gosposvetska cesta 84
Maribor;Tyrševa ulica 23
Maribor;Gosposvetska cesta 83
Mengeš;Trdinov trg 8 A
Metlika;Naselje Borisa Kidriča 2
Mirna;Cesta na Fužine 3
Moravče;Vegova ulica 1
Mozirje;Savinjska cesta 3
Murska Sobota;Trg Zmage 6
Murska Sobota;Ulica Štefana Kovača 43
Muta;Glavni trg 31
Naklo;Glavna cesta 24
Nova Gorica;Kidričeva ulica 19
Nova Gorica;Industrijska cesta 9
Novo mesto;Ulica Slavka Gruma 7
Novo mesto;Novi trg 7
Ormož;Poštna ulica 2
Petrovci;Gornji Petrovci 40 E
Polzela;Malteška cesta 38
Postojna;Ulica 1. maja 2 A
Preddvor;Šiška 1
Prevalje;Trg 32 A
Ptuj;Mariborska Cesta 19
Rače;Ljubljanska cesta 14
Radenci;Panonska cesta 5
Ravne na Koroškem;Trg svobode 19
Ribnica;Kolodvorska ulica 2
Selnica ob Dravi;Slovenski trg 4
Sevnica;Trg svobode 9
Sežana;Partizanska cesta 48 A
Slovenj Gradec;Kidričeva ulica 3a
Spodnji Duplek;Cesta k Dravi 5
Šempeter pri Gorici;Vrtojbenska cesta 19 C
Šenčur;Gasilska cesta 2 A
Šentjernej;Prvomajska cesta 3
Šentjur;Mestni trg 5a
Škofja Loka;Kapucinski trg 14
Šmarje pri Jelšah;Aškerčev trg 26
Tolmin;Trg maršala Tita 10
Trbovlje;Trg revolucije 27
Trbovlje;Trg Franca Fakina 4
Trebnje;Goliev trg 11
Tržič;Predilniška cesta 10
Velenje;Kidričeva cesta 2a
Vrhnika;Poštna ulica 2
Vrhnika;Tržaška cesta 32
Zagorje ob Savi;Cesta zmage 28
Zgornja Polskava;Mariborska ulica 26
Žalec;Ulica heroja Staneta 1
Železniki;Na Kresu 1
Žiri;Trg svobode 1
Žirovnica;Žirovnica 4
